Unit,2017_01,2017_01,2017_01,2017_01,2017_02,2017_02,2017_02,2017_02,2017_03,2017_03,2017_03,2017_03,2017_04,2017_04,2017_04,2017_04,2017_05,2017_05,2017_05,2017_05,2017_06,2017_06,2017_06,2017_06,2017_07,2017_07,2017_07,2017_07,2017_08,2017_08,2017_08,2017_08,2017_09,2017_09,2017_09,2017_09,2017_10,2017_10,2017_10,2017_10,2017_11,2017_11,2017_11,2017_11,2017_12,2017_12,2017_12,2017_12,Revenue
11,15.8835556420991,8530,1091,1741,16.9928967597548,8549,1085,1728,14.2416642364149,8516,1075,1771,16.8148832684825,8472,1082,1808,16.0584516631006,8480,1080,1802,16.3159172574536,8563,1065,1734,16.2919495635306,8601,1052,1709,15.3383595850941,8634,950,1778,16.0760528567354,8698,843,1821,15.6763098379193,8722,750,1890,16.0714892011695,8665,759,1938,15.1780860702152,8614,766,1982,1033510000
12,19.107818864308,11263,1007,1258,18.326892366656,11265,1004,1259,17.2535953978907,11238,1012,1278,18.8719808688721,11263,983,1282,18.5861601085482,11288,999,1241,19.1130976135366,11283,999,1246,18.9430667410892,11372,987,1169,18.0187106918239,11431,808,1289,19.107421875,11511,728,1289,19.0218309859155,11494,748,1286,19.4866979655712,11596,748,1184,18.7976525821596,11568,748,1212,1406420000
13,14.8317186463172,6537,1370,998,14.3170249241725,6497,1322,1086,13.6183792372881,6448,1353,1104,15.6389219183512,6432,1336,1137,15.1337394067797,6447,1353,1105,15.733350847235,6495,1292,1118,15.3516455040166,6578,1187,1140,15.1454660748256,6693,1020,1192,16.0682822163322,6750,982,1173,15.8203479576399,6784,973,1148,15.7764217413186,6682,957,1266,15.1127715685043,6624,942,1339,817470000
14,14.6891412349184,1090,138,319,14.2365056818182,1081,139,327,12.9372325249643,1045,145,357,14.5411007862759,1055,148,344,13.8,1066,147,334,13.9816513761468,1059,130,358,13.1647807637907,1060,133,354,12.1903750884643,1021,134,392,12.9787234042553,1045,137,365,12.5493257629525,1048,138,361,13.737517831669,1044,145,358,13.765211166786,1019,150,378,119130000
15,10.2596153846154,1500,55,164,10.2536144578313,1495,59,165,10.1880650994575,1493,60,166,10.3429951690821,1493,63,163,10.7848484848485,1487,69,163,10.8998178506375,1492,72,155,11.0279295689132,1481,72,166,10.9156041287189,1484,72,163,10.922890103218,1478,72,169,10.859659781288,1470,73,176,10.7530487804878,1462,79,178,10.7422303473492,1464,78,177,165090000
16,10.1526845637584,583,18,13,10.3506711409396,583,18,13,10.2445561139028,580,17,17,10.0936454849498,580,16,18,9.91304347826087,580,16,18,10.1722408026756,585,16,13,10.294701986755,593,10,11,9.95681063122924,573,12,29,10.328903654485,584,12,18,10.1291390728477,577,10,27,10.2392026578073,577,12,25,10.2902155887231,593,11,10,70530000
17,19.8911489829577,8602,2539,493,21.2187739883759,8616,2515,503,18.2076442886869,8571,2503,560,21.2971790946862,8658,2488,488,19.8555191256831,8637,2484,513,20.8527813993916,8742,2430,462,20.2798660617844,8763,2376,495,20.555068902895,8841,2273,520,20.574158133643,8924,2161,549,20.2707763517778,8974,2128,532,20.2840075455879,8984,2092,558,21.3643597529055,9024,2083,527,1093850000
18,19.0770757525637,5696,1445,350,18.5013991769547,5682,1416,393,16.9629690585912,5675,1415,401,18.6239302172482,5694,1415,382,17.7742307059404,5682,1414,395,18.8195562859491,5727,1406,358,19.2481104173513,5705,1405,381,18.6419850959252,5882,1184,425,19.0450284309205,6073,984,434,18.4709104367135,6315,736,440,19.0547823511993,6291,737,463,17.8672278836213,6312,720,459,782120000
19,16.0211228460256,1678,2311,121,15.9338521400778,1665,2311,134,13.8532518065592,1661,2311,138,15.9155086158977,1669,2311,130,15.4813785436354,1673,2311,126,16.5214007782101,1699,2311,100,19.2067815453029,1701,2311,98,15.3075302790943,1782,2211,117,14.7644135188867,1819,2098,193,15.2530674846626,1801,2154,155,15.079754601227,1791,2154,165,14.8650306748466,1797,2154,159,235170000
20,19.8842239185751,3702,1048,228,17.995178888607,3691,1037,250,16.9619385942654,3687,1037,254,18.3276821862348,3711,1026,241,18.4297646165528,3710,1027,241,18.4426188068756,3722,1022,234,18.1433523149294,3782,939,257,17.8252072159922,3797,876,305,17.8306709265176,3939,596,443,16.771657041315,4084,476,418,18.0693859454666,4187,467,324,17.3248014121801,4199,446,333,520240000
21,16.5433198380567,1119,256,116,15.7546709991877,1128,260,103,15.8915171288744,1106,265,120,16.71044045677,1115,265,111,17.5693311582382,1114,265,112,18.6356209150327,1127,267,97,17.0049019607843,1131,267,93,16.442429022082,1156,223,112,16.9921135646688,1159,223,109,18.8473635522664,998,410,83,18.9306839186691,995,409,87,17.6213235294118,993,403,95,127440000
22,18.9630589760207,1460,1485,83,17.8329015544041,1463,1484,81,17.7204648160103,1461,1479,88,17.5667522464698,1473,1470,85,18.6608974358974,1462,1468,98,18.1539936102236,1468,1463,97,18.4,1569,1358,101,16.0272350503256,1575,1339,114,15.8860276585598,1963,931,134,13.7286562731997,2383,334,311,14.4138569840682,2323,329,376,13.6054094108929,2347,329,352,250000000
23,15.9226679555341,3574,360,564,16.4292965917331,3576,361,561,14.2439083232811,3558,353,587,16.2236398651902,3591,344,563,15.2909658817876,3586,336,576,16.4040816326531,3615,333,550,14.8847165749821,3609,317,572,14.8391491395794,3610,314,574,16.2352380952381,3631,298,569,15.0743821292776,3628,290,580,15.9486935866983,3644,288,566,16.0227758007117,3630,283,585,444290000
24,15.2979737783075,828,353,11,14.7008343265793,826,353,13,13.6460071513707,824,353,15,16.358401880141,839,341,12,13.2497082847141,844,335,13,15.561260210035,848,335,9,15.9824970828471,846,335,11,14.1283547257876,848,335,9,14.4539089848308,843,335,14,13.7517401392111,852,330,10,13.6287703016241,850,330,12,12.5533642691415,849,330,13,103040000
25,16.5908818236353,1564,861,103,13.7607655502392,1532,856,140,13.7688172043011,1509,854,165,16.2377538829152,1523,854,151,15.2037037037037,1541,854,133,17.1072066706373,1568,849,111,14.798749289369,1594,769,165,13.2156013001083,1634,682,212,12.9062348960851,1886,459,183,12.2223296278395,1751,459,318,13.4496870486278,1805,451,272,12.7501203659124,1785,451,292,236740000
26,11.6994991652755,1134,446,64,11.3201646090535,1162,429,53,10.0769860769861,1154,423,67,11.2776412776413,1174,423,47,11.0204582651391,1169,422,53,11.1450443190975,1173,403,68,11.5285261489699,1198,382,64,10.3419607843137,1191,369,84,9.45509790681972,1240,163,241,10.6610904584882,1397,30,217,11.0099132589839,1446,30,168,11.3562152133581,1470,27,147,183020000
01,15.5713476783692,8581,766,2015,16.6856064181218,8656,767,1939,13.6734000377572,8551,768,2043,15.7817512738253,8560,764,2038,15.8345283018868,8503,762,2097,16.7533767828469,8510,775,2077,15.2600566572238,8544,772,2046,15.7317825112108,8638,658,2066,15.7095724907063,8695,602,2065,14.9717199814557,8683,577,2102,16.2180639184808,8725,567,2070,15.7704933234421,8705,578,2079,1038820000
02,18.4037558685446,11568,748,1212,18.4468701095462,11541,748,1239,16.9747490589711,11537,776,1215,18.7365742915297,11665,754,1109,18.892213692621,11687,762,1079,19.542848190506,11703,762,1063,18.9265014373398,11810,657,1061,18.8433846868468,11865,611,1052,19.7146268196873,11884,545,1099,18.1811077913123,11902,475,1151,19.1008120116439,11731,474,1323,18.1119865371376,11749,455,1324,1424860000
03,15.3442787316706,6728,926,1251,15.1556278953299,6663,918,1324,14.4951286535099,6733,899,1273,15.9147847785402,6746,890,1269,15.8572141787319,6802,893,1210,16.1956684092606,6834,871,1200,15.1783392616215,6867,752,1286,14.9330085261876,6851,695,1359,15.4921269379845,6893,649,1363,15.2838849963759,6860,627,1418,16.5561987457791,6933,613,1359,15.5362859549886,6837,596,1472,830870000
