Unit,2017_01,2017_01,2017_01,2017_01,2017_02,2017_02,2017_02,2017_02,2017_03,2017_03,2017_03,2017_03,2017_04,2017_04,2017_04,2017_04,2017_05,2017_05,2017_05,2017_05,2017_06,2017_06,2017_06,2017_06,2017_07,2017_07,2017_07,2017_07,2017_08,2017_08,2017_08,2017_08,2017_09,2017_09,2017_09,2017_09,2017_10,2017_10,2017_10,2017_10,2017_11,2017_11,2017_11,2017_11,2017_12,2017_12,2017_12,2017_12,Revenue
16,11.150036416606,1203,346,170,10.6508379888268,233,1361,125,9.73219373219373,232,1368,119,10.3313953488372,219,1375,125,10.7376093294461,225,1376,118,11.1387283236994,233,1373,113,11.3631123919308,237,1372,110,10.3153409090909,242,1367,110,9.69859154929578,237,1364,118,9.94135802469136,227,1395,97,10.2782874617737,233,1392,94,10.2256097560976,229,1391,99,72289902
17,10.7327731092437,592,19,3,10.8137931034483,574,34,6,11.3615160349854,343,271,0,11.3647058823529,339,274,1,11.2198142414861,322,291,1,11.0761904761905,315,299,0,11.0645161290323,310,304,0,11.1016393442623,305,309,0,11.2655737704918,305,309,0,11.4848484848485,297,317,0,13.206106870229,131,483,0,13.4885496183206,131,483,0,20053128
18,20.9013224821974,9333,1804,497,20.7160154660155,9327,1806,501,19.4758220502901,9265,1811,558,20.6991447770312,9272,1812,550,21.7032855253789,9329,1803,502,23.1299624327343,9380,1785,469,18.2666125596023,9328,1777,529,21.2135700823331,9520,1553,561,21.1245163210636,9525,1555,554,20.6681152574398,9928,1049,657,22.0170003777862,10036,1046,552,23.0211565585331,10101,999,534,995849398
19,18.5999447055571,6793,257,441,17.6085335542668,6797,249,445,16.7170879955795,6765,252,474,18.3026079757141,6803,244,444,17.7183622828784,6809,237,445,19.1899064906491,6845,219,427,17.0356604032369,6853,200,438,18.2597296190086,6905,168,418,18.9101706484642,6926,166,399,18.7168732125834,6961,148,382,19.5339779381724,6990,148,353,18.898097826087,6964,131,396,647856568
20,13.1705179282869,2275,1600,235,12.2437275985663,2276,1599,235,12.8468606431853,2322,1498,290,11.9333588663347,2183,1499,428,13.9911911145155,2378,1499,233,17.3677347242921,2487,1426,197,12.5305514157973,2463,1426,221,14.3605961468557,2535,1359,216,14.4973544973545,2456,1464,190,10.8491943605237,2487,138,1485,10.8382056451613,2499,142,1469,11.4212509419744,2766,129,1215,324007438
21,17.4363299732565,4524,117,337,17.3587739148323,4519,117,342,15.6555555555556,4522,118,338,17.2970358172087,4528,120,330,17.9393128985805,4542,117,319,18.4202838922033,4548,117,313,16.1864859314028,4560,109,309,17.5523339502365,4564,115,299,18.4503487894953,4570,104,304,18.0116971065052,4591,105,282,18.9938750510412,4603,80,295,17.9547300040601,4621,52,305,442442495
22,16.9914639351259,4443,138,243,17.5780012839718,4453,151,220,16.336192109777,4397,160,267,16.2664516129032,4384,174,266,16.8213362068966,4381,184,259,18.9087575496117,4399,188,237,15.6089397538329,4371,193,260,17.2294232015554,4372,195,257,18.4614554091989,4379,193,252,17.3420484010372,4388,196,240,18.0304733088394,4359,197,268,18.0453661697991,4382,195,247,404490815
23,16.1866760414836,5234,1214,455,16.1484800562291,5207,1212,484,16.3779264214047,5227,1222,454,16.2331925378388,5233,1221,449,16.6116778051354,5249,1217,437,18.9783793285287,5277,1214,412,16.3410811762634,5297,1224,382,16.8481160386796,5546,905,452,17.7244766505636,5768,693,442,16.5689961504294,6229,149,525,17.5446732849311,6281,154,468,17.6036784336992,6310,161,432,517159020
24,19.8424819294353,13104,917,869,19.7194651029748,13106,906,878,17.5288296041308,13043,946,901,19.0426359380627,12980,1005,905,18.9295936713412,13012,985,893,20.5881208102069,13037,1017,836,18.1765510292212,13081,996,813,19.215257118572,13258,772,860,19.9746307681436,13289,739,862,19.3272328999435,13314,738,838,20.6874823993241,13451,686,753,19.9631317025303,13380,623,887,1227837386
25,14.2080838323353,1899,181,105,15.0254237288136,1901,179,105,12.7441396508728,1884,180,121,14.3645,1890,185,110,13.72,1878,185,122,15.571072319202,1896,180,109,13.0718204488778,1871,180,134,13.4885685884692,1875,173,137,13.9139303482587,1874,175,136,13.9049751243781,1882,175,128,16.3592039800995,1892,175,118,16.3547263681592,1893,175,117,173399613
26,16.4505494505495,1653,497,76,15.2353961827646,1638,497,91,14.635049161365,1635,497,94,15.6071634893125,1642,495,89,15.4488734835355,1662,495,69,16.3210374639769,1647,491,88,15.2207492795389,1658,491,77,14.9203015616586,1688,369,169,16.1288244766506,1770,363,93,13.6359068067611,1949,37,240,16.3183265120509,2079,27,120,15.5898135516144,2103,27,96,192779763
